Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
labeled_matrix-bert-pos-emot,1,1,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301638E7,36000.0,4000.0,3089.0,911.0,0.0,77.225,22.775,0.0,0.49290286668522126,0.2273362202941256,0.47506062755247186,60.6218695135844,109.71055242309617,3245.112500804611,114738.68341552268,-111493.57091471808,0.8112781252011527,28.68467085388067,-27.87339272867952,1047.6940848400282,0.26192352121000706,32.28529317797941,0.841,841.0,0.25066666666666665,752.0,0.7493333333333333,2248.0,0.159,159.0,0.5279347143753923,0.841,0.6486694947936752,0.5221701008951375,0.835172,0.5472497559093035,0.77225,0.18191666666666667,0.8180833333333333,0.22775,0.8324406790093031,0.77225,0.7858034010703441,0.5221701008951375,0.8396665000000001,0.8302791123020351,0.7400920989781211,0.77225,48.748,0.195,48.72,0.19,48720.0,190.0,3068741.0,2.29754219E8,2.5562219E7,77.875,50.5,?,0.0,0.0,0.0,0.0,-3.472633241179294E7,-3.47442053963851E7,-3.474392428228615E7,-3.471098238395976E7,-3.470322338395976E7
labeled_matrix-bert-pos-emot,1,2,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301639E7,36000.0,4000.0,3102.0,898.0,0.0,77.55,22.45,0.0,0.49179400113186184,0.22454490811563915,0.472911168463461,59.87753338255805,109.21415610989048,3245.112500804611,114323.25876487952,-111078.14626407491,0.8112781252011527,28.580814691219878,-27.769536566018726,1075.5408922924948,0.26888522307312374,33.14340849587863,0.818,818.0,0.23866666666666667,716.0,0.7613333333333333,2284.0,0.182,182.0,0.5332464146023468,0.818,0.6456195737963693,0.5159171072165792,0.8304153333333333,0.5454105980007824,0.7755,0.19616666666666666,0.8038333333333333,0.2245,0.8279588055970587,0.7755,0.788188647565448,0.5159171072165792,0.8326718333333333,0.8255885853822247,0.7406656229757551,0.7755,44.627,0.206,44.6,0.21,44600.0,210.0,3070279.0,2.29754219E8,2.5562219E7,77.8,50.2625,?,0.0,0.0,0.0,0.0,-3.4894433963548586E7,-3.491247420331743E7,-3.491212981047966E7,-3.4878984121572085E7,-3.4871177121572085E7
labeled_matrix-bert-pos-emot,1,3,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0200630164E7,36000.0,4000.0,3084.0,916.0,0.0,77.1,22.9,0.0,0.48912437255995544,0.22949952398000925,0.4776311363126634,61.198739814296815,110.3041859926512,3245.112500804611,119015.31364895237,-115770.20114814777,0.8112781252011527,29.753828412238093,-28.94255028703694,1028.2983205118478,0.25707458012796197,31.687601593377305,0.835,835.0,0.25033333333333335,751.0,0.7496666666666667,2249.0,0.165,165.0,0.5264817150063051,0.835,0.6457849961330239,0.517545738937466,0.8284698333333333,0.5321912832131781,0.771,0.18633333333333335,0.8136666666666668,0.229,0.8303569656198447,0.771,0.7845530092844566,0.517545738937466,0.8346559583333333,0.8250707644744142,0.7382970049006456,0.771,45.009,0.205,44.99,0.21,44990.0,210.0,3069247.0,2.29754219E8,2.5562219E7,77.375,50.3875,?,0.0,0.0,0.0,0.0,-3.494617393207123E7,-3.496409409957787E7,-3.49637026404369E7,-3.49306928119168E7,-3.49229178119168E7
labeled_matrix-bert-pos-emot,1,4,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.0200630164E7,36000.0,4000.0,3102.0,898.0,0.0,77.55,22.45,0.0,0.49265536723163833,0.22411775891160957,0.4719336910185545,59.76362903737271,108.98841736362917,3245.112500804611,115731.45350038804,-112486.34099958344,0.8112781252011527,28.93286337509701,-28.12158524989586,1078.7995170834529,0.2696998792708632,33.24382488483741,0.821,821.0,0.23966666666666667,719.0,0.7603333333333333,2281.0,0.179,179.0,0.5331168831168831,0.821,0.6464566929133858,0.5173184161770241,0.8344841666666667,0.5420684658376937,0.7755,0.19416666666666665,0.8058333333333333,0.2245,0.8287060500475134,0.7755,0.7882625248766981,0.5173184161770241,0.8359182916666666,0.8259447274803114,0.7409939142222607,0.7755,44.534,0.205,44.5,0.21,44500.0,210.0,3070616.0,2.29754219E8,2.5562219E7,78.125,50.45,?,0.0,0.0,0.0,0.0,-3.485259138805739E7,-3.487068291832535E7,-3.487036571125788E7,-3.48371775659792E7,-3.48293605659792E7
labeled_matrix-bert-pos-emot,1,5,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301641E7,36000.0,4000.0,3065.0,935.0,0.0,76.625,23.375,0.0,0.47604370972261134,0.23463270805144587,0.48304080176546155,62.56756355283367,111.55349471416817,3245.112500804611,123582.60677385337,-120337.49427304877,0.8112781252011527,30.895651693463343,-30.08437356826219,980.0297344193818,0.24500743360484545,30.200177472318384,0.817,817.0,0.25066666666666665,752.0,0.7493333333333333,2248.0,0.183,183.0,0.5207138304652645,0.817,0.6360451537563254,0.5022602405300693,0.817315,0.5233513649270123,0.76625,0.19991666666666666,0.8000833333333333,0.23375,0.8237202099815979,0.76625,0.7798914210113516,0.5022602405300693,0.81828175,0.8149032490148626,0.7319426652596762,0.76625,44.452,0.208,44.45,0.2,44450.0,200.0,3071276.0,2.29754219E8,2.5562219E7,76.85,50.4125,?,0.0,0.0,0.0,0.0,-3.492421606965471E7,-3.494235029474461E7,-3.494197107271456E7,-3.490869801469371E7,-3.490086101469371E7
labeled_matrix-bert-pos-emot,1,6,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301642E7,36000.0,4000.0,3136.0,864.0,0.0,78.4,21.6,0.0,0.5076923076923078,0.21595441114941988,0.4636107006194997,57.586776610631354,107.06630506567502,3245.112500804611,110068.34377923748,-106823.23127843287,0.8112781252011527,27.51708594480937,-26.705807819608218,1158.5055896480317,0.2896263974120079,35.700013153959546,0.823,823.0,0.229,687.0,0.771,2313.0,0.177,177.0,0.5450331125827814,0.823,0.6557768924302788,0.5305898345130917,0.8356986666666667,0.5463664814525037,0.784,0.19,0.81,0.216,0.8329450251336472,0.784,0.7959114362223239,0.5305898345130917,0.8345455416666666,0.8260856445578888,0.7491999216249754,0.784,44.24,0.218,44.24,0.21,44240.0,210.0,3069186.0,2.29754219E8,2.5562219E7,78.7,50.3,?,0.0,0.0,0.0,0.0,-3.478428954920165E7,-3.480221294182801E7,-3.480183355378545E7,-3.476884919908798E7,-3.476108019908798E7
labeled_matrix-bert-pos-emot,1,7,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301643E7,36000.0,4000.0,3117.0,883.0,0.0,77.925,22.075,0.0,0.5032348804500703,0.22091101698176147,0.46870541891885303,58.90851369066958,108.24287985770063,3245.112500804611,112306.4705756413,-109061.3580748367,0.8112781252011527,28.076617643910325,-27.265339518709172,1111.3538323007785,0.27783845807519464,34.247004750227404,0.836,836.0,0.23966666666666667,719.0,0.7603333333333333,2281.0,0.164,164.0,0.5376205787781351,0.836,0.6544031311154599,0.5297184319447152,0.8370933333333334,0.5471923600747146,0.77925,0.18291666666666664,0.8170833333333333,0.22075,0.8340983962282761,0.77925,0.791975438426248,0.5297184319447152,0.8389017083333333,0.8287026457444139,0.7461180026559853,0.77925,44.502,0.215,44.45,0.22,44450.0,220.0,3067927.0,2.29754219E8,2.5562219E7,78.225,50.3375,?,0.0,0.0,0.0,0.0,-3.4776838916050516E7,-3.4794646696785E7,-3.4794288618492186E7,-3.476144861545637E7,-3.475371361545637E7
labeled_matrix-bert-pos-emot,1,8,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301643E7,36000.0,4000.0,3114.0,886.0,0.0,77.85,22.15,0.0,0.4977324263038547,0.2216609260262971,0.46935192551624577,59.108485732898835,108.39218416083885,3245.112500804611,114350.3166482807,-111105.20414747609,0.8112781252011527,28.587579162070174,-27.77630103686902,1104.9997448736442,0.27624993621841104,34.051199907542944,0.821,821.0,0.23566666666666666,707.0,0.7643333333333333,2293.0,0.179,179.0,0.537303664921466,0.821,0.6495253164556961,0.5216485131833651,0.8251698333333334,0.5364945711369177,0.7785,0.19316666666666665,0.8068333333333333,0.2215,0.830017663803182,0.7785,0.7909449256051521,0.5216485131833651,0.8267939583333334,0.8208938215515501,0.7438050558886667,0.7785,44.208,0.206,44.2,0.21,44200.0,210.0,3071267.0,2.29754219E8,2.5562219E7,78.15,50.425,?,0.0,0.0,0.0,0.0,-3.49651978903984E7,-3.498335800051728E7,-3.49829880229626E7,-3.494970647366754E7,-3.494186747366754E7
labeled_matrix-bert-pos-emot,1,9,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301644E7,36000.0,4000.0,3115.0,885.0,0.0,77.875,22.125,0.0,0.503506311360449,0.22085508445548557,0.4685889039219436,58.893598626518894,108.21597187178236,3245.112500804611,114931.59050245013,-111686.47800164552,0.8112781252011527,28.73289762561253,-27.92161950041138,1110.8153367332034,0.27770383418330086,34.2304107009474,0.84,840.0,0.24166666666666667,725.0,0.7583333333333333,2275.0,0.16,160.0,0.536741214057508,0.84,0.6549707602339181,0.530880987078264,0.8357611666666667,0.5473638179870342,0.77875,0.18041666666666667,0.8195833333333332,0.22125,0.8349039893459992,0.77875,0.7916175750630794,0.530880987078264,0.8403905416666666,0.8296947633250862,0.7460686367866922,0.77875,44.795,0.208,44.78,0.2,44780.0,200.0,3067080.0,2.29754219E8,2.5562219E7,78.425,50.45,?,0.0,0.0,0.0,0.0,-3.483039961511368E7,-3.48480904182485E7,-3.484769447023572E7,-3.481498183631319E7,-3.480727683631319E7
labeled_matrix-bert-pos-emot,1,10,weka.classifiers.bayes.BayesNet,'-D -Q weka.classifiers.bayes.net.search.local.K2 -- -P 1 -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5',746037443258775954,2.02006301645E7,36000.0,4000.0,3112.0,888.0,0.0,77.8,22.2,0.0,0.49401709401709404,0.2223874025342564,0.47033437521349475,59.302209214415385,108.61907119959096,3245.112500804611,113898.82205746927,-110653.70955666466,0.8112781252011527,28.47470551436732,-27.663427389166166,1095.9187207447887,0.27397968018619717,33.77136294883646,0.811,811.0,0.233,699.0,0.767,2301.0,0.189,189.0,0.5370860927152318,0.811,0.6462151394422311,0.516297852438665,0.8289555,0.5374690836438257,0.778,0.2,0.8,0.222,0.8273438123354344,0.778,0.7902423094507217,0.516297852438665,0.8279489999999999,0.8208133613151574,0.7422332527812248,0.778,44.477,0.208,44.48,0.21,44480.0,210.0,3070311.0,2.29754219E8,2.5562219E7,78.05,50.325,?,0.0,0.0,0.0,0.0,-3.497937813561021E7,-3.4997407301430605E7,-3.499702670208463E7,-3.496388101317705E7,-3.495607401317705E7
